Why are the Quantiphi offices closed currently?,"The company offices are closed currently due to the Covid-19 pandemic, however, employees continue to work from home."
When will the Quantiphi offices re-open?,No plans have been made as yet for reopening the office.
Where are Quantiphi offices located in India?  ,The offices are located in Bangalore and Mumbai
Where are Quantiphi offices located?,"They are located across multiple locations in India, USA and Canada"
Why are the company offices closed currently?,"The company offices are closed currently due to the Covid-19 pandemic, however, employees continue to work from home."
When will the offices re-open?,No plans have been made as yet for reopening the office.
Where are offices located in India?  ,The offices are located in Bangalore and Mumbai
Where are offices located?,"They are located across multiple locations in India, USA and Canada"
How does SARS-COV-2 spread?,"The virus is thought to spread mainly from person-to-person - between people who are in close contact with one another (within about 6 feet), through respiratory droplets produced when an infected person coughs, sneezes or talks. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs."
How does COVID 19 spread?,"The virus is thought to spread mainly from person-to-person - between people who are in close contact with one another (within about 6 feet), through respiratory droplets produced when an infected person coughs, sneezes or talks. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs."
What precautionary measures can be taken?,"Wash your hands often, avoid close contact with people and cover your mouth and nose with a cloth face cover when around people, monitor your health, clean and disinfect frequently touched surfaces daily."
What is covid19?,The World Health Organization states that Coronaviruses (CoV) are a large family of viruses that cause illness ranging from the common cold to a more severe lung infection. COVID-19 is the disease caused by a novel coronavirus.
